4796	1
>	0
0	5.136106e+05
>	1
0	9.694615e+04
>	2
0	9.542821e+04
>	3
0	5.140103e+03
>	4
0	5.106036e+03
>	5
>	6
>	7
0	2.324600e+04
>	8
>	9
>	10
0	1.105910e+06
>	11
0	1.202193e+05
>	12
0	1.162328e+03
>	13
0	7.392146e+04
>	14
0	4.539245e+03
>	15
>	16
0	9.440030e+04
>	17
0	1.781065e+04
>	18
0	1.566733e+04
>	19
0	4.395423e+03
>	20
0	5.753895e+03
>	21
0	3.367218e+04
>	22
>	23
0	4.551278e+03
>	24
>	25
0	3.359079e+02
>	26
>	27
0	2.909459e+04
>	28
0	1.407554e+04
>	29
0	9.347650e+04
>	30
0	1.185661e+04
>	31
0	8.863366e+02
>	32
0	5.150051e+04
>	33
0	5.089912e+03
>	34
0	4.547848e+04
>	35
0	1.150620e+05
>	36
0	6.627664e+03
>	37
0	5.519316e+03
>	38
0	2.585213e+04
>	39
0	5.028079e+03
>	40
0	1.127453e+04
>	41
0	2.638391e+04
>	42
0	8.925848e+03
>	43
0	3.504072e+04
>	44
0	2.458175e+02
>	45
0	1.052118e+04
>	46
0	1.418411e+04
>	47
>	48
0	1.861415e+04
>	49
0	3.347175e+04
>	50
0	2.290487e+05
>	51
0	4.139306e+04
>	52
0	2.765102e+03
>	53
0	3.930759e+04
>	54
0	3.620333e+04
>	55
>	56
>	57
0	9.348855e+02
>	58
0	4.181008e+03
>	59
0	3.080980e+04
>	60
>	61
0	6.736367e+03
>	62
0	1.158464e+06
>	63
0	1.172475e+04
>	64
0	2.371162e+05
>	65
0	7.689801e+03
>	66
0	2.028448e+05
>	67
0	5.507175e+03
>	68
0	1.550978e+04
>	69
0	2.483462e+04
>	70
0	4.228401e+03
>	71
0	8.557617e+03
>	72
0	4.362056e+05
>	73
0	7.074185e+04
>	74
0	8.176838e+04
>	75
0	2.498878e+03
>	76
0	3.929967e+03
>	77
0	1.237835e+04
>	78
0	2.091850e+03
>	79
0	1.325015e+04
>	80
0	1.086906e+04
>	81
0	6.031849e+04
>	82
0	1.034703e+04
>	83
0	3.507863e+03
>	84
0	3.595978e+05
>	85
0	6.802502e+04
>	86
0	7.169591e+04
>	87
0	2.157789e+03
>	88
0	2.793654e+03
>	89
0	3.646157e+05
>	90
0	6.585967e+04
>	91
0	9.539165e+04
>	92
>	93
0	1.705538e+04
>	94
0	3.048543e+03
>	95
0	5.160368e+03
>	96
0	1.236214e+05
>	97
0	2.426457e+04
>	98
0	4.409338e+04
>	99
0	2.210045e+03
>	100
0	1.002588e+04
>	101
0	6.857412e+02
>	102
0	2.046067e+03
>	103
0	1.360888e+05
>	104
0	9.053881e+03
>	105
0	3.340426e+04
>	106
0	1.394561e+03
>	107
0	1.155005e+04
>	108
0	3.611390e+03
>	109
0	1.117938e+03
>	110
0	6.724423e+03
>	111
0	6.909682e+04
>	112
0	1.969202e+04
>	113
0	2.095829e+04
>	114
0	3.884773e+02
>	115
0	7.139815e+04
>	116
0	1.995748e+04
>	117
0	1.892717e+04
>	118
0	4.182944e+03
>	119
0	1.346956e+05
>	120
0	4.691026e+04
>	121
0	5.167494e+04
>	122
0	7.451475e+04
>	123
0	4.981367e+04
>	124
0	4.751447e+04
>	125
0	4.984178e+04
>	126
0	1.132502e+04
>	127
0	4.493928e+04
>	128
0	6.729220e+03
>	129
0	8.430683e+03
>	130
0	3.195461e+04
>	131
0	4.370235e+04
>	132
0	5.123698e+05
>	133
0	1.013398e+05
>	134
0	8.444625e+04
>	135
0	3.904712e+03
>	136
0	1.022880e+04
>	137
0	2.442140e+03
>	138
0	2.656068e+02
>	139
0	8.784896e+03
>	140
0	3.916604e+03
>	141
0	5.180024e+03
>	142
0	1.310273e+04
>	143
>	144
0	1.035131e+03
>	145
0	1.097786e+06
>	146
0	1.100885e+05
>	147
0	3.214314e+03
>	148
0	8.263543e+04
>	149
0	1.354810e+05
>	150
0	2.030616e+04
>	151
0	4.142920e+03
>	152
0	1.345829e+04
>	153
0	7.147849e+03
>	154
0	4.818946e+03
>	155
0	4.275373e+04
>	156
>	157
>	158
0	3.400293e+04
>	159
0	1.385337e+04
>	160
0	1.032583e+05
>	161
0	8.366421e+03
>	162
0	2.771819e+03
>	163
0	5.061932e+04
>	164
0	5.527525e+04
>	165
0	1.115886e+05
>	166
0	1.089957e+04
>	167
0	6.727609e+03
>	168
0	1.770465e+04
>	169
0	3.245366e+03
>	170
0	1.480869e+04
>	171
0	2.756861e+04
>	172
0	1.048428e+04
>	173
0	3.708495e+04
>	174
0	1.505001e+02
>	175
0	9.064227e+03
>	176
0	1.635673e+04
>	177
>	178
0	1.427379e+04
>	179
0	1.535968e+03
>	180
0	2.753400e+04
>	181
0	2.196542e+05
>	182
0	5.692969e+04
>	183
0	7.182966e+03
>	184
0	1.165556e+04
>	185
