t	min m/z	max m/z	charge
37	355.029339597	355.037860403	1
37	356.033527546	356.042072454	1
37	357.027515618	357.036084382	1
37	358.032903554	358.041496446	1
37	358.991392052	359.000007948	1
37	359.997779975	360.006420025	1
37	360.99736798	361.00603202	1
37	362.001155934	362.009844066	1
37	362.145354204	362.154045796	1
37	367.109494633	367.118305367	1
37	368.078183009	368.087016991	1
37	369.084970927	369.093829073	1
37	370.092058842	370.100941158	1
37	371.053447305	371.062352695	4
37	371.053447305	371.062352695	1
37	371.276044634	371.284955366	1
37	372.053135309	372.062064691	4
37	372.053135309	372.062064691	1
37	373.053123309	373.062076691	1
37	374.057111261	374.066088739	1
37	375.057299258	375.066300742	1
37	375.11969851	375.12870149	1
37	381.04792737	381.05707263	1
37	382.048315365	382.057484635	1
37	383.153202106	383.162397894	1
37	383.822494075	383.831705925	3
37	383.992192038	384.001407962	2
37	384.161890002	384.171109998	3
37	384.15789005	384.16710995	1
37	385.117678532	385.126921468	1
37	386.121966481	386.131233519	1
37	387.150554138	387.159845862	1
37	388.15454209	388.16385791	1
37	389.108830638	389.118169362	1
37	390.112118598	390.121481402	1
37	391.173305864	391.182694136	1
37	391.239805066	391.249194934	1
37	392.247192977	392.256607023	1
37	393.045083402	393.054516598	4
37	393.258480842	393.267919158	1
37	395.09445881	395.10394119	1
37	396.049147353	396.058652647	1
37	399.306308267	399.315891733	1
37	400.310696214	400.320303786	1
37	402.187773689	402.197426311	1
37	404.113050585	404.122749415	1
37	408.062903186	408.072696814	1
37	409.069391108	409.079208892	1
37	413.222941265	413.232858735	1
37	415.001119927	415.011080073	1
37	419.27326866	419.28333134	1
37	420.279856581	420.289943419	1
37	421.290144458	421.300255542	2
37	421.290144458	421.300255542	1
37	421.79663838	421.80676162	2
37	424.04741137	424.05758863	1
37	425.094798801	425.105001199	1
37	428.846153784	428.856446216	4
37	429.032151552	429.042448448	1
37	430.04063945	430.05096055	1
37	430.217837324	430.228162676	1
37	430.841329842	430.851670158	4
37	430.889429265	430.899770735	3
37	430.850929727	430.861270273	1
37	431.033527536	431.043872464	4
37	431.038327478	431.048672522	1
37	431.856217663	431.866582337	4
37	431.856217663	431.866582337	1
37	432.044215407	432.054584593	1
37	432.840905847	432.851294153	4
37	432.845705789	432.856094211	1
37	433.8530937	433.8635063	1
37	445.054859278	445.065540722	1
37	445.892849222	445.903550778	4
37	446.05964722	446.07035278	1
37	447.062835182	447.073564818	4
37	447.062835182	447.073564818	1
37	448.064323164	448.075076836	1
37	449.069211105	449.079988895	1
37	455.148938147	455.159861853	1
37	459.131890351	459.142909649	1
37	462.08275494	462.09384506	1
37	463.087042889	463.098157111	1
37	464.088930866	464.100069134	1
37	465.0944188	465.1055812	1
37	466.097606762	466.108793238	1
37	467.055395268	467.066604732	1
37	468.059583218	468.070816782	1
37	476.155186069	476.166613931	1
37	489.005631862	489.017368138	4
37	503.049163338	503.061236662	1
37	504.050151326	504.062248674	1
37	505.096838765	505.108961235	1
37	506.103726682	506.115873318	1
37	519.062271178	519.074728822	1
37	520.066959122	520.079440878	1
37	521.074447032	521.086952968	1
37	522.072135059	522.084664941	1
37	523.085522898	523.098077102	1
37	536.085766894	536.098633106	1
37	537.093454801	537.106345199	1
37	538.097342754	538.110257246	1
37	539.097230756	539.110169244	1
37	540.100018722	540.112981278	1
37	550.165197938	550.178402062	1
37	551.16418595	551.17741405	1
37	577.066675117	577.080524883	1
