t	min m/z	max m/z	charge
35	355.0201	355.1191	1
35	356.0242	356.1128	1
35	357.0218	357.1106	1
35	358.0272	358.1091	1
35	358.9858	359.1336	1
35	359.9921	360.0672	1
35	360.9917	361.0559	1
35	369.0832	369.1641	1
35	370.0903	370.16	1
35	371.0402	371.206	4
35	371.0402	371.206	1
35	371.2667	371.3597	1
35	372.0476	372.191	4
35	372.0476	372.191	1
35	372.2751	372.3606	1
35	373.0476	373.145	4
35	373.0476	373.145	1
35	374.0516	374.1415	1
35	381.0425	381.1224	1
35	382.0429	382.123	1
35	383.0432	383.1799	1
35	383.8212	383.9058	3
35	383.8212	383.9058	1
35	384.1565	384.2412	3
35	384.1565	384.2412	1
35	384.4882	384.573	3
35	384.8285	384.8485	3
35	385.1083	385.1973	1
35	388.1492	388.2308	1
35	391.1057	391.3293	1
35	392.2419	392.3328	1
35	393.0398	393.1267	4
35	393.2491	393.3401	1
35	395.0892	395.1641	1
35	396.0397	396.1316	1
35	399.2926	399.394	1
35	400.3055	400.3943	1
35	402.1697	402.2416	1
35	404.1036	404.1934	1
35	408.0135	408.0911	1
35	409.0687	409.1509	1
35	413.2179	413.3101	1
35	414.9961	415.0796	1
35	419.2683	419.362	1
35	420.2749	420.3643	1
35	421.2806	421.3749	2
35	421.2806	421.3749	1
35	421.7917	421.8722	2
35	424.0331	424.1281	1
35	428.8413	428.9376	4
35	429.0178	429.1571	1
35	430.0358	430.142	1
35	430.8366	430.9382	4
35	430.8366	430.9382	1
35	431.0287	431.1352	1
35	431.8514	431.9341	4
35	431.8514	431.9341	1
35	432.0346	432.1848	1
35	432.8312	432.9335	4
35	432.8312	432.9335	1
35	433.8484	433.9266	1
35	440.6818	440.7664	2
35	445.0502	445.2315	1
35	445.8882	445.979	4
35	446.055	446.1863	1
35	447.0582	447.1747	4
35	447.0582	447.1747	1
35	448.0597	448.1714	1
35	449.0595	449.1663	1
35	455.134	455.2374	1
35	459.1274	459.2161	1
35	459.709	459.7925	2
35	462.0783	462.2157	1
35	463.0826	463.2041	1
35	464.0846	464.2012	1
35	465.09	465.2015	1
35	466.0932	466.1943	1
35	467.0456	467.1523	1
35	468.0498	468.1513	1
35	476.1453	476.249	1
35	489.0073	489.1028	4
35	503.0452	503.1682	1
35	504.0462	504.1695	1
35	505.032	505.2041	1
35	519.0586	519.2183	1
35	520.0632	520.2106	1
35	521.0708	521.1993	1
35	522.0684	522.1973	1
35	523.0754	523.1918	1
35	536.0822	536.2422	1
35	537.0899	537.2369	1
35	538.0938	538.2344	1
35	539.0937	539.228	1
35	577.0561	577.1952	1
35	578.0622	578.1867	1
35	579.0484	579.2331	1
35	593.0787	593.2383	1
35	594.0804	594.2325	1
35	595.0767	595.2292	1
35	596.0756	596.2285	1
35	607.1429	607.2754	1
35	608.1482	608.2647	1
35	609.1478	609.2646	1
35	610.0933	610.267	1
35	611.1059	611.2638	1
35	612.0966	612.263	1
35	613.1061	613.2565	1
35	624.1675	624.3047	1
35	625.1734	625.3025	1
35	642.88	643.0138	4
35	642.88	643.0138	3
35	667.0848	667.2991	1
35	668.085	668.2627	1
35	669.0874	669.2561	1
35	670.0921	670.2519	1
35	684.1103	684.2936	1
35	685.1105	685.2942	1
35	686.1129	686.2873	1
35	687.1175	687.2826	1
35	741.0947	741.1147	1
35	742.1031	742.1231	1
35	743.1027	743.1227	1
35	758.1289	758.1489	1
35	759.1273	759.1473	1
35	760.139	760.159	1
35	815.1171	815.1371	1
35	816.1176	816.1376	1
35	832.1472	832.1672	1
35	833.1534	833.1734	1
35	868.8512	868.8712	4
35	868.8512	868.8712	3
35	887.7727	887.7927	4
36	355.0201	355.1191	1
36	356.0278	356.1164	1
36	357.0218	357.1106	1
36	358.0272	358.1091	1
36	358.9894	359.1336	1
36	359.9885	360.0671	1
36	360.9917	361.0559	1
36	361.9918	362.0672	1
36	367.1001	367.1692	1
36	368.0574	368.1305	1
36	369.0832	369.1641	1
36	370.0865	370.16	1
36	371.0363	371.206	4
36	371.0363	371.206	1
36	371.2705	371.3635	1
36	372.0476	372.1909	4
36	372.0476	372.1909	1
36	373.0476	373.145	1
36	374.0515	374.1454	1
36	375.0557	375.1381	1
36	381.0425	381.1264	1
36	382.0429	382.123	1
36	383.0431	383.1799	1
36	383.8212	383.9058	3
36	384.1565	384.2371	3
36	384.1565	384.2371	1
36	385.1123	385.1973	1
36	388.1492	388.2307	1
36	391.1099	391.3376	1
36	392.2419	392.3328	1
36	393.0398	393.1225	4
36	393.249	393.3443	1
36	396.0396	396.1358	1
36	399.2968	399.3982	1
36	400.3055	400.3986	1
36	402.1437	402.2503	1
36	404.1036	404.1977	1
36	408.0179	408.0911	1
36	409.0687	409.1554	1
36	413.2179	413.3146	1
36	414.9915	415.0796	1
36	419.2683	419.362	1
36	420.2749	420.3643	1
36	421.2806	421.3749	2
36	421.2806	421.3749	1
36	421.7964	421.8722	2
36	424.0378	424.1281	1
36	425.0476	425.124	1
36	428.8413	428.9376	4
36	429.0273	429.1523	1
36	430.0358	430.142	1
36	430.1891	430.281	1
36	430.8365	430.943	4
36	430.8365	430.943	1
36	431.0335	431.14	4
36	431.0335	431.14	1
36	431.8563	431.9341	4
36	431.8563	431.9341	1
36	432.0394	432.18	1
36	432.8361	432.9334	4
36	440.6769	440.7714	2
36	445.0502	445.1861	1
36	445.8882	445.9789	4
36	446.055	446.1863	1
36	447.0582	447.1747	4
36	447.0582	447.1747	1
36	448.0597	448.1714	1
36	449.0646	449.1714	1
36	455.1392	455.2374	1
36	459.1274	459.216	1
36	462.0783	462.2157	1
36	463.0826	463.2094	1
36	464.0845	464.2012	1
36	465.09	465.2015	1
36	466.0932	466.1889	1
36	467.0456	467.1523	1
36	468.0497	468.1513	1
36	476.1509	476.2434	1
36	489.0015	489.1028	4
36	503.0452	503.1682	1
36	504.0462	504.1695	1
36	505.032	505.198	1
36	519.0585	519.2183	1
36	520.0696	520.2106	1
36	521.0707	521.2057	1
36	522.0684	522.1973	1
36	523.0754	523.1918	1
36	536.0822	536.2422	1
36	537.0899	537.2369	1
36	538.0938	538.2344	1
36	539.0937	539.228	1
36	540.0965	540.2243	1
36	550.1549	550.2788	1
36	577.0561	577.1952	1
36	578.0622	578.1867	1
36	579.0484	579.2256	1
36	593.0787	593.2383	1
36	594.0803	594.2325	1
36	595.0767	595.2292	1
36	596.0834	596.2284	1
36	607.1429	607.2754	1
36	608.1482	608.2727	1
36	609.1477	609.2646	1
36	610.1014	610.267	1
36	611.1059	611.2638	1
36	612.1048	612.263	1
36	613.1061	613.2565	1
36	624.1675	624.3047	1
36	642.88	643.0138	4
36	643.2215	643.3554	4
36	651.0792	651.2152	1
36	652.0794	652.2066	1
36	667.0848	667.2991	1
36	668.085	668.2626	1
36	669.0874	669.2561	1
36	670.0921	670.2518	1
36	684.1103	684.2936	1
36	685.1105	685.2942	1
36	686.1129	686.2873	1
36	687.1175	687.2826	1
36	741.0947	741.1147	1
36	742.1031	742.1231	1
36	743.1027	743.1227	1
36	758.1288	758.1488	1
36	759.1273	759.1473	1
36	760.139	760.159	1
36	815.1171	815.1371	1
36	816.1176	816.1376	1
36	832.1472	832.1672	1
36	837.0142	837.0342	4
36	842.1867	842.2067	2
36	868.4663	868.4863	4
36	868.6587	868.6787	4
36	868.6587	868.6787	3
37	355.0201	355.1191	1
37	356.0278	356.1128	1
37	357.0218	357.1106	1
37	358.0272	358.2146	1
37	358.9857	359.1299	1
37	359.9921	360.0671	1
37	360.9917	361.0596	1
37	361.9881	362.0709	1
37	362.1397	362.2078	1
37	367.1039	367.1957	1
37	368.0574	368.1267	1
37	369.0794	369.1641	1
37	370.0865	370.16	1
37	371.0479	371.2099	4
37	371.0479	371.2099	1
37	371.2667	371.3597	1
37	372.0476	372.1563	4
37	372.0476	372.1563	1
37	373.0437	373.145	1
37	374.0516	374.2114	1
37	375.0518	375.1381	1
37	381.0425	381.1264	1
37	382.0429	382.119	1
37	383.0432	383.1799	1
37	383.8171	383.9058	3
37	383.9787	384.0512	4
37	384.1525	384.2412	3
37	383.9787	384.0512	2
37	384.1525	384.2412	1
37	385.1083	385.1973	1
37	386.1166	386.2425	1
37	387.1125	387.1856	1
37	388.1492	388.2307	1
37	389.1035	389.1894	1
37	390.1068	390.1806	1
37	391.1057	391.242	1
37	392.1752	392.3328	1
37	393.0398	393.1225	4
37	393.249	393.3401	1
37	395.0892	395.1894	1
37	396.0397	396.1316	1
37	399.2925	399.394	1
37	400.3055	400.3943	1
37	402.1437	402.246	1
37	404.1036	404.1934	1
37	408.0135	408.0955	1
37	409.0643	409.1554	1
37	413.2179	413.3101	1
37	414.9915	415.0796	1
37	419.2683	419.362	1
37	420.2749	420.3643	1
37	421.2806	421.3749	2
37	421.2806	421.3749	1
37	421.7917	421.8722	2
37	424.0378	424.1281	1
37	425.0476	425.124	1
37	428.8413	428.9376	4
37	429.0273	429.1523	1
37	430.0358	430.142	1
37	430.1939	430.281	1
37	430.8365	430.9382	4
37	430.8365	430.9382	1
37	431.0287	431.1352	4
37	431.0287	431.1352	1
37	431.8514	431.9341	4
37	431.8514	431.9341	1
37	432.0394	432.1848	1
37	432.8361	432.9334	4
37	432.8361	432.9334	1
37	433.8483	433.9314	1
37	440.6818	440.7664	2
37	445.0502	445.2315	1
37	445.8882	445.9789	4
37	446.055	446.1863	1
37	447.0582	447.1747	4
37	447.0582	447.1747	1
37	448.0597	448.1714	1
37	449.0646	449.1714	1
37	455.1392	455.2374	1
37	459.1274	459.216	1
37	462.0783	462.2157	1
37	463.0826	463.2094	1
37	464.0845	464.2012	1
37	465.09	465.2015	1
37	466.0932	466.1943	1
37	467.051	467.1523	1
37	468.0552	468.1513	1
37	476.1509	476.249	1
37	489.0015	489.1028	4
37	503.0452	503.1682	1
37	504.0462	504.1635	1
37	505.0381	505.198	1
37	506.0998	506.1993	1
37	519.0585	519.2183	1
37	520.0632	520.2169	1
37	521.0707	521.2057	1
37	522.0684	522.1973	1
37	523.0754	523.1918	1
37	536.0822	536.2489	1
37	537.0899	537.2436	1
37	538.0938	538.2344	1
37	539.0937	539.228	1
37	540.0965	540.2243	1
37	550.1618	550.2719	1
37	551.1608	551.2781	1
37	577.0561	577.1952	1
37	578.0696	578.1867	1
37	579.041	579.2331	1
37	593.071	593.2383	1
37	594.0803	594.2325	1
37	595.0767	595.2292	1
37	596.0834	596.2206	1
37	607.1429	607.2754	1
37	608.1482	608.2727	1
37	609.1477	609.2646	1
37	610.0933	610.267	1
37	611.1059	611.2638	1
37	612.0966	612.263	1
37	613.1061	613.2565	1
37	624.1675	624.3047	1
37	642.88	643.0138	4
37	643.2215	643.3466	4
37	651.0703	651.2152	1
37	652.0794	652.2067	1
37	667.0848	667.2621	1
37	668.085	668.2626	1
37	669.0874	669.2561	1
37	670.0921	670.2518	1
37	681.1609	681.2955	1
37	684.1103	684.3225	1
37	685.1105	685.2942	1
37	686.1129	686.2873	1
37	687.1175	687.2826	1
37	741.0947	741.1147	1
37	742.1031	742.1231	1
37	743.1027	743.1227	1
37	758.1288	758.1488	1
37	759.1273	759.1473	1
37	760.139	760.159	1
37	815.1171	815.1371	1
37	816.1176	816.1376	1
37	832.1472	832.1672	1
37	833.1534	833.1734	1
37	834.1485	834.1685	1
37	837.0142	837.0342	4
37	868.4663	868.4863	4
37	868.535	868.555	2
37	868.7137	868.7337	3
37	868.7412	868.7612	3
37	868.6587	868.6787	2
37	887.7585	887.7785	3
37	888.1278	888.1478	1
38	355.02	355.1191	1
38	355.1817	355.2485	1
38	356.0242	356.1164	1
38	357.0218	357.1106	1
38	358.0272	358.2146	1
38	358.9857	359.1299	1
38	359.9958	360.0671	1
38	360.9954	361.0596	1
38	361.9881	362.0709	1
38	362.1434	362.2078	1
38	366.0789	366.144	1
38	369.0832	369.1641	1
38	370.0865	370.1562	1
38	371.044	371.206	4
38	371.044	371.206	1
38	371.2705	371.3597	1
38	372.0476	372.1563	4
38	372.0476	372.1563	1
38	373.0476	373.1449	1
38	374.0477	374.1415	1
38	375.0518	375.1381	1
38	381.0425	381.1264	1
38	382.0429	382.119	1
38	383.0431	383.1799	1
38	383.8171	383.9058	3
38	384.1565	384.2371	3
38	383.9827	384.0512	2
38	384.1565	384.2371	1
38	385.1083	385.1973	1
38	386.1166	386.2425	1
38	387.1165	387.1856	1
38	388.1491	388.2307	1
38	389.1076	389.1853	1
38	390.1109	390.1806	1
38	391.1099	391.3334	1
38	392.1752	392.3328	1
38	393.044	393.1225	4
38	393.044	393.1225	1
38	393.249	393.3401	1
38	394.0498	394.1286	4
38	394.0498	394.1286	1
38	395.0892	395.1894	1
38	396.0396	396.1316	1
38	399.2925	399.3982	1
38	402.1393	402.246	1
38	404.1036	404.1934	1
38	408.0179	408.0911	1
38	409.0687	409.1554	1
38	414.9915	415.0842	1
38	415.9965	416.0711	4
38	419.2683	419.362	1
38	420.2749	420.3643	1
38	421.2806	421.3749	1
38	428.8413	428.9376	4
38	429.0225	429.1523	1
