t	min m/z	max m/z	charge
13	355.025839639	355.034360361	1
13	356.02992759	356.03847241	4
13	356.02992759	356.03847241	1
13	357.027515618	357.036084382	1
13	358.032903554	358.041496446	1
13	358.116602549	358.125197451	1
13	358.995092007	359.003707993	1
13	360.00147993	360.01012007	1
13	360.99736798	361.00603202	1
13	368.078183009	368.087016991	1
13	369.088770882	369.097629118	1
13	370.095858796	370.104741204	1
13	371.049547352	371.058452648	4
13	371.049547352	371.058452648	1
13	371.276044634	371.284955366	1
13	372.053135309	372.062064691	4
13	372.053135309	372.062064691	1
13	373.053123309	373.062076691	1
13	374.057111261	374.066088739	1
13	375.057299258	375.066300742	1
13	381.04792737	381.05707263	1
13	382.048315365	382.057484635	1
13	383.157302057	383.166497943	1
13	383.826594026	383.835805974	3
13	384.161890002	384.171109998	1
13	385.117778531	385.127021469	1
13	388.15454209	388.16385791	1
13	389.112930589	389.122269411	1
13	390.157618052	390.166981948	1
13	391.169205913	391.178594087	1
13	391.239805066	391.249194934	1
13	392.247192977	392.256607023	1
13	393.049283352	393.058716648	4
13	393.049283352	393.058716648	1
13	393.258480842	393.267919158	1
13	394.055071282	394.064528718	4
13	394.088670879	394.098129121	1
13	395.094558808	395.104041192	1
13	396.049147353	396.058652647	1
13	399.302008318	399.311591682	1
13	400.310696214	400.320303786	1
13	404.113150584	404.122849416	1
13	408.067303134	408.077096866	1
13	409.073791056	409.083608944	1
13	413.22754121	413.23745879	1
13	414.996519982	415.006480018	1
13	416.001507922	416.011492078	1
13	419.27326866	419.28333134	1
13	420.279856581	420.289943419	1
13	421.290144458	421.300255542	2
13	421.290144458	421.300255542	1
13	421.79663838	421.80676162	2
13	428.846153784	428.856446216	4
13	429.032151552	429.042448448	1
13	430.04063945	430.05096055	1
13	430.841429841	430.851770159	4
13	430.851029726	430.861370274	1
13	431.038327478	431.048672522	1
13	431.856317662	431.866682338	4
13	431.856317662	431.866682338	1
13	440.686511698	440.697088302	2
13	445.054859278	445.065540722	1
13	445.892849222	445.903550778	4
13	446.05964722	446.07035278	1
13	447.062835182	447.073564818	4
13	447.062835182	447.073564818	1
13	448.064323164	448.075076836	1
13	449.069211105	449.079988895	1
13	455.148938147	455.159861853	1
13	462.08275494	462.09384506	1
13	463.087042889	463.098157111	1
13	464.089030865	464.100169135	1
13	465.0944188	465.1055812	1
13	466.092206826	466.103393174	1
13	467.055395268	467.066604732	1
13	467.804186282	467.815413718	4
13	467.793286413	467.804513587	3
13	468.059583218	468.070816782	1
13	469.061571194	469.072828806	1
13	476.155186069	476.166613931	1
13	488.199641534	488.211358466	1
13	489.005631862	489.017368138	4
13	503.049163338	503.061236662	1
13	504.050151326	504.062248674	1
13	505.035939496	505.048060504	1
13	519.062371177	519.074828823	1
13	520.066959122	520.079440878	1
13	521.07454703	521.08705297	1
13	522.072135059	522.084664941	1
13	536.085766894	536.098633106	1
13	537.093454801	537.106345199	1
13	538.097342754	538.110257246	1
13	539.097230756	539.110169244	1
13	540.100018722	540.112981278	1
13	550.158298021	550.171501979	1
13	551.164285949	551.177514051	1
13	577.059175207	577.073024793	1
13	578.065263134	578.079136866	1
