t	min m/z	max m/z	charge
15	355.027969819	355.032230181	1
15	356.032163794	356.036436206	1
15	357.033357787	357.037642213	1
15	358.035151776	358.039448224	1
15	359.000945981	359.005254019	1
15	360.003639965	360.007960035	1
15	360.995934011	361.000265989	1
15	366.086703467	366.091096533	1
15	367.062697611	367.067102389	1
15	368.087991459	368.092408541	1
15	369.094885417	369.099314583	1
15	370.098179398	370.102620602	1
15	371.044173722	371.048626278	4
15	371.051873675	371.056326325	1
15	371.282172294	371.286627706	1
15	372.055467654	372.059932346	4
15	372.055467654	372.059932346	1
15	372.286766266	372.291233734	1
15	373.039861747	373.044338253	4
15	373.051461678	373.055938322	1
15	374.05935563	374.06384437	1
15	375.071249559	375.075750441	1
15	375.118049278	375.122550722	1
15	379.057325642	379.061874358	1
15	380.061819615	380.066380385	1
15	381.050313684	381.054886316	1
15	382.050607683	382.055192317	1
15	383.159601029	383.164198971	1
15	383.828897013	383.833502987	3
15	384.168294976	384.172905024	3
15	384.164195001	384.168804999	1
15	385.124189241	385.128810759	1
15	388.16097102	388.16562898	1
15	389.111165319	389.115834681	1
15	390.168258976	390.172941024	1
15	391.179852907	391.184547093	1
15	391.250452483	391.255147517	1
15	392.257946438	392.262653562	1
15	393.051641676	393.056358324	4
15	393.055841651	393.060558349	1
15	393.265140395	393.269859605	1
15	394.057535641	394.062264359	4
15	396.051523677	396.056276323	1
15	399.308804133	399.313595867	1
15	402.198986792	402.203813208	1
15	413.239020551	413.243979449	1
15	415.008209936	415.013190064	1
15	416.013103906	416.018096094	1
15	419.280384303	419.285415697	1
15	420.28247829	420.28752171	1
15	421.292772228	421.297827772	1
15	428.848826892	428.853973108	4
15	429.039525747	429.044674253	1
15	430.043319725	430.048480275	1
15	430.84401492	430.84918508	4
15	430.853614863	430.858785137	1
15	431.04571371	431.05088629	1
15	431.858908831	431.864091169	4
15	431.858908831	431.864091169	1
15	432.046907703	432.052092297	1
15	432.843502923	432.848697077	4
15	440.689255849	440.694544151	2
15	445.057529639	445.062870361	1
15	445.895524611	445.900875389	4
15	446.062423609	446.067776391	1
15	447.06561759	447.07098241	4
15	447.06561759	447.07098241	1
15	448.067111581	448.072488419	1
15	449.071905552	449.077294448	1
15	459.134645176	459.140154824	1
15	462.090927438	462.096472562	1
15	463.095221412	463.100778588	1
15	464.091815432	464.097384568	1
15	465.0972094	465.1027906	1
15	466.10050338	466.10609662	1
15	467.058197634	467.063802366	1
15	467.801593174	467.807206826	3
15	467.812393109	467.818006891	4
15	468.073291543	468.078908457	3
15	468.062391609	468.068008391	1
15	468.405189552	468.410810448	2
15	476.158043035	476.163756965	1
15	488.202670766	488.208529234	1
15	489.014465896	489.020334104	4
15	489.18866485	489.19453515	1
15	489.206164745	489.212035255	1
15	489.264264397	489.270135603	1
15	503.058281632	503.064318368	1
15	503.064381596	503.070418404	1
15	503.070481559	503.076518441	1
15	503.082581486	503.088618514	1
15	503.094681414	503.100718586	1
15	503.106781341	503.112818659	1
15	503.112881305	503.118918695	1
15	503.124981232	503.131018768	1
15	503.137081159	503.143118841	1
15	503.143181123	503.149218877	1
15	504.059375626	504.065424374	1
15	505.045069711	505.051130289	1
15	505.051169675	505.057230325	1
15	505.057269638	505.063330362	1
15	505.1303692	505.1364308	1
15	505.136469163	505.142530837	1
15	505.142569126	505.148630874	1
15	505.14866909	505.15473091	1
15	505.154769053	505.160830947	1
15	505.160869017	505.166930983	1
15	505.16696898	505.17303102	1
15	505.178968908	505.185031092	1
15	506.045763707	506.051836293	1
15	506.051863671	506.057936329	1
15	506.057963634	506.064036366	1
15	506.064063597	506.070136403	1
15	506.070163561	506.076236439	1
15	506.076263524	506.082336476	1
15	506.082463487	506.088536513	1
15	506.08856345	506.09463655	1
15	506.094663414	506.100736586	1
15	506.100763377	506.106836623	1
15	506.106863341	506.112936659	1
15	506.112963304	506.119036696	1
15	506.119063267	506.125136733	1
15	506.125163231	506.131236769	1
15	519.07188555	519.07811445	1
15	519.078185512	519.084414488	1
15	519.084585474	519.090814526	1
15	519.090885436	519.097114564	1
15	519.097285398	519.103514602	1
15	519.10358536	519.10981464	1
15	519.109985321	519.116214679	1
15	519.116285284	519.122514716	1
15	519.122685245	519.128914755	1
15	519.128985207	519.135214793	1
15	519.135385169	519.141614831	1
15	519.141685131	519.147914869	1
15	519.148085093	519.154314907	1
15	519.154385055	519.160614945	1
15	519.160785017	519.167014983	1
15	519.167084979	519.173315021	1
15	519.17348494	519.17971506	1
15	519.179784903	519.186015097	1
15	519.186184864	519.192415136	1
15	519.192484826	519.198715174	1
15	520.076479522	520.082720478	1
15	520.184778873	520.191021127	1
15	520.191178834	520.197421166	1
15	521.077673515	521.083926485	1
15	522.081767491	522.088032509	1
15	522.171466952	522.177733048	1
15	522.177866914	522.184133086	1
15	523.088761449	523.095038551	1
15	523.09516141	523.10143859	1
15	523.101561372	523.107838628	1
15	523.108061333	523.114338667	1
15	523.114461294	523.120738706	1
15	523.120861256	523.127138744	1
15	523.127261218	523.133538782	1
15	523.133761179	523.140038821	1
15	523.14016114	523.14643886	1
15	523.146561102	523.152838898	1
15	523.152961063	523.159238937	1
15	523.159461024	523.165738976	1
15	523.165860986	523.172139014	1
15	536.095783406	536.102216594	1
15	536.102383366	536.108816634	1
15	536.109083326	536.115516674	1
15	536.115683287	536.122116713	1
15	536.122383246	536.128816754	1
15	536.129083206	536.135516794	1
15	536.135683167	536.142116833	1
15	536.142383126	536.148816874	1
15	536.149083086	536.155516914	1
15	536.155683047	536.162116953	1
15	536.162383006	536.168816994	1
15	536.169082966	536.175517034	1
15	536.175682927	536.182117073	1
15	536.182382886	536.188817114	1
15	536.189082846	536.195517154	1
15	536.195682807	536.202117193	1
15	536.202382766	536.208817234	1
15	536.209082726	536.215517274	1
15	536.215682687	536.222117313	1
15	536.222382646	536.228817354	1
15	537.0967774	537.1032226	1
15	538.181070894	538.187529106	1
15	538.214570693	538.221029307	1
15	539.107265337	539.113734663	1
15	539.201364772	539.207835228	1
15	539.208064732	539.214535268	1
15	540.11005932	540.11654068	1
15	540.11675928	540.12324072	1
15	540.123559239	540.130040761	1
15	540.130259199	540.136740801	1
15	540.136959159	540.143440841	1
15	540.143759118	540.150240882	1
15	540.150459078	540.156940922	1
15	540.157259037	540.163740963	1
15	540.163958997	540.170441003	1
15	540.170658957	540.177141043	1
15	540.177458916	540.183941084	1
15	540.184158876	540.190641124	1
15	540.190958835	540.197441165	1
15	540.197658795	540.204141205	1
15	550.168598969	550.175201031	1
15	550.175498927	550.182101073	1
15	550.182398886	550.189001114	1
15	550.189398844	550.196001156	1
