         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  1335934.95          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  2046930.46          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA    45161.40          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  2056237.21          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  1306429.47          NA          NA          NA  1214191.37          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  2020224.08          NA          NA          NA          NA          NA          NA          NA          NA
  832871.23   450972.82          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  2777839.38          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  1682390.33          NA          NA          NA          NA          NA          NA   686084.75  1164962.80   394523.52          NA          NA          NA          NA          NA          NA          NA          NA          NA
 1022772.03   410611.28          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  5144833.96          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  1428927.45          NA          NA          NA          NA          NA          NA   489402.72   909868.05   470858.82  1805983.77          NA          NA          NA          NA          NA          NA          NA          NA
  915414.59   293732.89          NA          NA          NA          NA          NA          NA          NA          NA  5773773.00          NA  8490110.90          NA          NA          NA          NA          NA 49630363.69          NA          NA          NA          NA          NA  1069582.95          NA          NA          NA          NA          NA          NA          NA          NA          NA  1667737.39          NA          NA          NA          NA          NA          NA          NA          NA
  342428.06   412159.56          NA    92489.31          NA          NA          NA          NA          NA          NA  5285898.93          NA  9283217.58          NA          NA          NA          NA          NA 32582383.49          NA          NA          NA          NA          NA   731204.00          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
  160730.02   305931.16          NA          NA          NA          NA          NA          NA          NA  1524352.71  4493922.67          NA          NA          NA          NA          NA          NA          NA 14927992.16          NA          NA          NA          NA          NA   537555.61   847941.73          NA          NA          NA          NA          NA          NA   529989.35   722022.28          NA          NA          NA          NA          NA          NA          NA          NA          NA
