scan,minmz,maxmz,charge
0,649.999199981,650.007000019,2
0,650.166398978,650.174201022,3
0,650.166398978,650.174201022,2
0,650.280298295,650.288101705,2
0,650.280298295,650.288101705,1
0,650.333697974,650.341502026,3
0,650.784095272,650.791904728,2
0,652.047987689,652.055812311,4
0,652.174286931,652.182113069,4
0,657.275756322,657.283643678,1
0,658.279850297,658.287749703,2
0,658.279850297,658.287749703,1
0,658.780947291,658.788852709,2
0,658.780947291,658.788852709,1
0,659.281344288,659.289255712,2
0,661.317232073,661.325167927,2
0,661.317232073,661.325167927,1
0,661.818829063,661.826770937,2
0,661.818829063,661.826770937,1
0,662.321426048,662.329373952,2
0,662.823023038,662.830976962,3
0,662.989822037,662.997777963,3
0,662.989822037,662.997777963,2
0,663.061721606,663.069678394,2
0,663.160121015,663.168078985,3
0,663.160121015,663.168078985,2
0,667.495595002,667.503604998,2
0,671.201972764,671.210027236,4
0,682.326006019,682.334193981,1
0,683.331799985,683.340000015,4
0,683.331799985,683.340000015,2
0,683.586598456,683.594801544,2
0,684.726691615,684.734908385,3
0,687.356275838,687.364524162,3
0,687.693373815,687.701626185,3
0,692.806843134,692.815156866,2
0,699.339903935,699.348296065,2
0,699.339903935,699.348296065,1
0,699.840100934,699.848499066,2
0,699.840100934,699.848499066,1
0,700.341997923,700.350402077,2
0,706.836658955,706.845141045,4
0,706.836658955,706.845141045,2
0,707.086157458,707.094642542,4
0,707.086157458,707.094642542,2
0,707.086157458,707.094642542,1
0,707.33575596,707.34424404,4
0,707.33575596,707.34424404,2
0,707.33575596,707.34424404,1
0,707.585254463,707.593745537,4
0,707.585254463,707.593745537,2
0,707.585254463,707.593745537,1
0,707.83575296,707.84424704,4
0,707.83575296,707.84424704,2
0,707.83575296,707.84424704,1
0,708.086251457,708.094748543,4
0,708.086251457,708.094748543,2
0,708.336649955,708.345150045,4
0,708.336649955,708.345150045,2
0,708.586848453,708.595351547,4
0,715.140209133,715.148790867,1
0,715.541406726,715.549993274,1
0,716.844798905,716.853401095,3
0,717.182896877,717.191503123,3
0,720.006679934,720.015320066,3
0,720.006679934,720.015320066,2
0,720.006679934,720.015320066,1
0,720.174178929,720.182821071,3
0,720.174178929,720.182821071,2
0,720.174178929,720.182821071,1
0,720.340277932,720.348922068,3
0,720.50737693,720.51602307,2
0,720.674275928,720.682924072,3
0,720.674275928,720.682924072,2
0,724.356353836,724.365046164,3
0,724.356353836,724.365046164,1
0,724.690051834,724.698748166,3
0,724.690051834,724.698748166,1
0,725.02404983,725.03275017,3
0,725.02404983,725.03275017,1
0,725.358047826,725.366752174,3
0,725.692445819,725.701154181,3
0,726.139143139,726.147856861,1
0,726.35234186,726.36105814,1
0,728.617028272,728.625771728,4
0,738.66896796,738.67783204,3
0,738.66896796,738.67783204,1
0,739.001865962,739.010734038,3
0,739.334363967,739.343236033,3
0,758.375849718,758.384950282,2
0,758.375849718,758.384950282,1
0,758.878046704,758.887153296,2
0,758.878046704,758.887153296,1
0,759.379843694,759.388956306,2
0,762.747523487,762.756676513,3
0,762.747523487,762.756676513,1
0,763.081921481,763.091078519,3
0,763.081921481,763.091078519,1
0,763.416219475,763.425380525,3
0,763.75041747,763.75958253,3
0,779.396723592,779.406076408,1
0,781.352811855,781.362188145,3
0,781.686809851,781.696190149,3
0,785.84688489,785.85631511,3
0,790.921154445,790.930645555,2
0,795.665025981,795.674574019,3
0,800.375497718,800.385102282,2
0,800.54179672,800.55140328,3
0,809.073345531,809.083054469,3
0,809.408243521,809.417956479,3
0,820.46667717,820.47652283,2
0,820.46667717,820.47652283,1
0,820.969474154,820.979325846,2
0,830.402717554,830.412682446,3
0,833.563498589,833.573501411,3
0,833.563498589,833.573501411,2
0,833.732197577,833.742202423,3
0,833.732197577,833.742202423,2
0,833.899096575,833.909103425,3
0,834.06499558,834.07500442,3
0,847.75151346,847.76168654,2
0,847.913712487,847.923887513,3
0,847.913712487,847.923887513,2
0,848.080811485,848.090988515,3
0,863.807617123,863.817982877,1
0,864.008315919,864.018684081,1
0,865.918504458,865.928895542,2
0,865.918504458,865.928895542,1
0,866.420201448,866.430598552,2
0,866.420201448,866.430598552,1
0,866.921798438,866.932201562,2
0,868.730587585,868.741012415,3
0,868.894086604,868.904513396,3
0,868.894086604,868.904513396,2
0,868.894086604,868.904513396,1
0,869.060385606,869.070814394,3
0,869.060385606,869.070814394,2
0,869.226684609,869.237115391,3
0,869.226684609,869.237115391,2
0,869.39648359,869.40691641,3
0,869.39648359,869.40691641,2
0,869.560982603,869.571417397,3
0,872.063267589,872.073732411,3
0,893.675037918,893.685762082,4
0,893.675037918,893.685762082,2
0,893.675037918,893.685762082,1
0,893.924836419,893.935563581,4
0,893.924836419,893.935563581,2
0,893.924836419,893.935563581,1
0,894.173834925,894.184565075,4
0,894.173834925,894.184565075,2
0,894.173834925,894.184565075,1
0,894.427233404,894.437966596,4
0,894.427233404,894.437966596,2
0,894.679431891,894.690168109,4
0,894.925830413,894.936569587,4
0,914.925510414,914.936489586,2
0,914.925510414,914.936489586,1
0,915.427207404,915.438192596,2
0,915.427207404,915.438192596,1
0,915.928904394,915.939895606,2
0,919.094785398,919.105814602,3
0,919.094785398,919.105814602,1
0,919.428683395,919.439716605,3
0,919.764081382,919.775118618,3
0,937.93597235,937.94722765,2
0,937.93597235,937.94722765,1
0,938.438569335,938.449830665,2
0,938.438569335,938.449830665,1
0,938.940066326,938.951333674,2
0,939.441363318,939.452636682,1
0,942.111547297,942.122852703,3
0,942.111547297,942.122852703,1
0,942.445045296,942.456354704,3
0,942.445045296,942.456354704,1
0,942.779443289,942.790756711,3
0,943.113041288,943.124358712,3
0,960.441237318,960.452762682,2
0,999.443903301,999.455896699,3
