ID	precursor number	monoisotopic m/z	charge	peak alpha	elution profile
334	237	489.04925	4	19453.594195	5833:4318.738,5852:4581.392,5871:4968.215,5890:6247.078,5909:6934.558
335	238	395.12665	1	12703.5862316	5700:0.0,5719:1998.788,5738:0.0
336	238	395.12665	1	10693.6374532	5833:846.9353,5852:2514.372,5871:3216.353,5890:4477.155,5909:4052.677
337	238	395.12665	1	6121.29762643	5909:4052.677,5928:4197.66,5947:0.0
338	239	476.19435	1	26336.7533026	5833:7810.386,5852:10954.6,5871:13454.45,5890:9568.173,5909:7306.882
339	240	642.9469	4	24374.5545409	5757:0.0,5776:14475.39,5795:2268.306,5814:544.233
340	240	642.9469	4	23371.8681361	5890:0.0,5909:11452.39,5928:6307.896
341	241	432.8848	1	69901.569388	5909:20667.99,5928:17778.24,5947:35073.46
342	243	540.1604	1	1.73665146974e-06	5776:0.0,5795:4132.152,5814:2339.828,5833:1894.536
343	243	540.1604	1	8.83115711003e-07	5928:2572.023,5947:3390.519,5966:0.0
344	244	624.2361	1	27104.3081447	5700:10664.21,5719:14223.86,5738:11722.92,5757:8373.114
345	244	624.2361	1	26143.25098	5643:11769.21,5662:12511.6,5681:11550.05,5700:10664.21
346	244	624.2361	1	25875.5006567	5795:11743.8,5814:11791.42,5833:14886.98,5852:13294.23,5871:13652.23,5890:11975.49,5909:11317.68,5928:7635.608
347	244	624.2361	1	20668.1354557	5928:7635.608,5947:10872.55,5966:0.0
348	245	833.1505	1	18350.1034796	5890:29857.72,5909:6745.85,5928:11147.02,5947:8727.405
349	246	367.1328	1	6519.19486198	5909:3946.949,5928:1944.277,5947:3755.236,5966:2954.807
350	247	488.2229	1	13643.122957	5871:0.0,5890:5659.34,5909:4806.465,5928:4162.798
351	248	440.72165	2	21549.732997	5871:0.0,5890:10573.2,5909:7771.632,5928:7130.973
352	249	355.06775	1	1073182.25514	5985:487275.7,5016:527553.7,5035:510572.5,5054:497282.5,5073:493067.6
353	249	355.06775	1	929436.195225	5073:493067.6,5092:543277.1,5111:545398.7,5130:510526.2,5149:476760.4
354	249	355.06775	1	928593.377783	5149:476760.4,5168:507854.3,5187:519095.3,5206:511504.6,5225:508470.6,5244:478579.5
355	249	355.06775	1	907148.787153	5814:492268.5,5833:507916.2,5852:494255.3,5871:488976.2,5890:483311.8
356	249	355.06775	1	905209.619627	5700:512369.8,5719:519793.3,5738:517159.3,5757:486855.0
357	249	355.06775	1	894542.536166	5757:486855.0,5776:529939.7,5795:520930.5,5814:492268.5
358	249	355.06775	1	891031.067292	5624:426991.4,5643:537085.8,5662:492527.0,5681:513610.6,5700:512369.8
359	249	355.06775	1	885479.774505	5871:488976.2,5890:483311.8,5909:523020.6,5928:458246.4
360	249	355.06775	1	884988.813138	5244:478579.5,5263:530829.6,5282:493193.9,5301:472701.9
361	249	355.06775	1	878436.227624	5358:450674.3,5377:461917.4,5396:488469.1,5415:470157.6,5434:507787.3,5453:472432.7
362	249	355.06775	1	859901.288089	5548:477493.5,5567:495082.7,5586:501340.0,5605:491550.4,5624:426991.4
363	249	355.06775	1	837844.83708	5890:483311.8,5909:523020.6,5928:458246.4,5947:524640.2,5966:473527.1
364	249	355.06775	1	804057.202385	5415:470157.6,5434:507787.3,5453:472432.7,5472:506293.7,5491:449319.9
365	250	356.06665	1	270259.877121	5871:86394.98,5890:100852.7,5909:99121.79,5928:97646.89,5947:94732.8,5966:91600.17
366	250	356.06665	1	269889.802448	5187:88514.82,5206:99504.05,5225:99360.71,5244:98984.8
367	250	356.06665	1	267379.751644	5073:95030.68,5092:104863.9,5111:100602.4,5130:99584.64,5149:86496.03
368	250	356.06665	1	265052.606037	5567:74032.49,5586:91285.36,5605:100083.5,5624:79144.1
369	250	356.06665	1	261306.847303	5966:91600.17,5985:98572.07
370	250	356.06665	1	259348.847637	5985:98572.07,5016:99217.92,5035:90063.81
371	250	356.06665	1	258383.859986	5814:93494.26,5833:105929.4,5852:106065.2,5871:86394.98
372	250	356.06665	1	256009.028143	5624:79144.1,5643:108498.1,5662:95248.28,5681:96946.15
373	250	356.06665	1	255522.254219	5757:89729.66,5776:99090.87,5795:93511.92,5814:93494.26
374	250	356.06665	1	255436.025894	5358:81463.37,5377:90665.21,5396:106213.6,5415:82319.14
375	250	356.06665	1	246468.695288	5149:86496.03,5168:109846.1,5187:88514.82,5206:99504.05,5225:99360.71,5244:98984.8
376	250	356.06665	1	244037.543524	5472:87332.22,5491:88147.31,5510:91900.25,5529:83299.2,5548:96588.06,5567:74032.49
377	250	356.06665	1	239406.85597	5415:82319.14,5434:87543.8,5453:98817.69,5472:87332.22
378	251	357.06255	1	236239.246737	5149:81277.48,5168:102213.7,5187:102099.5,5206:87204.66
379	251	357.06255	1	227120.614766	5738:80378.44,5757:92346.73,5776:93442.03,5795:96518.3,5814:85147.68
380	251	357.06255	1	225768.184952	5396:75133.75,5415:82950.94,5434:93652.84,5453:81163.41
381	251	357.06255	1	222669.375733	5092:87866.89,5111:92286.75,5130:92089.14,5149:81277.48
382	251	357.06255	1	216486.695647	5016:91223.67,5035:88831.77,5054:95855.29,5073:88774.97,5092:87866.89
383	251	357.06255	1	211617.917229	5871:72380.87,5890:95333.33,5909:90576.24,5928:84511.2
384	251	357.06255	1	201035.660902	5548:77724.53,5567:79686.24,5586:86287.97,5605:83550.78,5624:78139.45
385	251	357.06255	1	200403.459392	5206:87204.66,5225:92768.62,5244:84151.46,5263:94313.85,5282:76898.01
386	251	357.06255	1	200201.15694	5928:84511.2,5947:91708.87,5966:89606.89,5985:86887.13
387	251	357.06255	1	194629.110814	5320:79788.87,5339:88575.8,5358:84319.67,5377:87765.07,5396:75133.75
388	251	357.06255	1	191717.537013	5624:78139.45,5643:91533.8,5662:77844.9,5681:95428.21,5700:84446.25
389	251	357.06255	1	191443.077975	5662:77844.9,5681:95428.21,5700:84446.25,5719:85031.12,5738:80378.44
390	251	357.06255	1	185768.295513	5605:83550.78,5624:78139.45,5643:91533.8,5662:77844.9
391	252	358.0663	1	12769.61094	5909:2959.323,5928:2508.725,5947:2962.88,5966:1256.634
392	252	358.0663	1	11330.9924672	5225:797.2054,5244:1930.758,5263:6688.341,5282:4387.717,5301:1859.924
393	252	358.0663	1	11292.4349453	5966:1256.634,5985:4147.652
394	252	358.0663	1	8648.3483822	5985:4147.652,5016:8587.969,5035:6477.691,5054:924.8018
395	252	358.0663	1	6274.04964856	5434:4315.353,5453:6434.252,5472:3653.117,5491:3363.363,5510:2969.093,5529:1245.522
396	252	358.0663	1	5803.71973363	5377:766.9772,5396:6668.168,5415:5933.606,5434:4315.353
397	252	358.0663	1	4207.84469595	5054:924.8018,5073:3871.347,5092:7255.13,5111:3463.233,5130:2496.909
398	252	358.0663	1	3741.78355598	5567:2413.386,5586:2592.632,5605:5721.674,5624:5317.82,5643:7616.286,5662:1204.054
399	252	358.0663	1	3657.34128418	5529:1245.522,5548:5093.573,5567:2413.386
400	252	358.0663	1	2022.70577152	5130:2496.909,5149:2827.043,5168:3329.609,5187:5196.587,5206:3316.671,5225:797.2054
401	252	358.0663	1	1772.48545496	5814:2629.126,5833:6229.266,5852:5682.189,5871:3136.07,5890:3046.965,5909:2959.323,5928:2508.725
402	252	358.0663	1	318.513550428	5719:3323.762,5738:5843.49,5757:5280.714,5776:5570.223,5795:4053.363,5814:2629.126
403	252	358.0663	1	1.52138620556e-08	5662:1204.054,5681:5140.103,5700:3904.712,5719:3323.762
404	253	359.0578	1	45954.6360705	5928:8118.891,5947:15646.56,5966:9003.894,5985:8631.143
405	253	359.0578	1	43448.1187876	5187:6590.581,5206:12464.88,5225:13161.13
406	253	359.0578	1	42675.756327	5016:9635.575,5035:13411.05,5054:15985.22,5073:9498.129
407	253	359.0578	1	38668.1201017	5320:8155.863,5339:19857.3,5358:17568.67,5377:6065.507,5396:3622.862
408	253	359.0578	1	38151.5824197	5548:7586.622,5567:9348.999,5586:10427.76,5605:10744.41,5624:8532.745,5643:6424.063
409	253	359.0578	1	33966.1522228	5263:8858.507,5282:12415.82,5301:11402.52,5320:8155.863
410	253	359.0578	1	31538.0494798	5472:9202.841,5491:9606.274,5510:9283.898
411	253	359.0578	1	7219.99502049	5111:4458.161,5130:8898.181,5149:10063.22,5168:8433.187,5187:6590.581
412	253	359.0578	1	6371.35369949	5396:3622.862,5415:11570.07,5434:10032.58,5453:9978.151,5472:9202.841
413	253	359.0578	1	206.830250288	5719:9139.826,5738:16037.62,5757:14813.05,5776:10543.44,5795:9119.767
414	253	359.0578	1	3.33962529822e-08	5795:9119.767,5814:10013.91,5833:9687.404,5852:10311.46,5871:6721.892,5890:5810.087
415	254	360.026	1	653.532871861	5738:2313.383,5757:4143.724,5776:6567.188,5795:5263.149,5814:6108.495
416	254	360.026	1	7.26011194274e-07	5852:1231.485,5871:1585.842,5890:5298.529,5909:2011.671,5928:296.6737
417	254	360.026	1	0.0	5966:0.0,5985:1989.675
418	255	361.02195	1	1.73665146974e-06	5738:35.34959,5757:308.3647,5776:954.5582,5795:886.1199,5814:872.7965
419	255	361.02195	1	1.08094860331e-06	5890:342.881,5909:1869.694,5928:0.0
420	255	361.02195	1	1.52138620556e-08	5681:0.0,5700:265.6068,5719:265.0432,5738:35.34959
421	255	361.02195	1	0.0	5966:0.0,5985:1120.164
422	256	368.08645	1	14360.6535835	5757:0.0,5776:6285.612,5795:4273.989,5814:3182.983,5833:200.6627
423	256	368.08645	1	10617.9448361	5947:1490.694,5966:4046.452,5985:3298.188
424	256	368.08645	1	10069.3173872	5871:0.0,5890:4327.032,5909:3846.897
425	257	369.11035	1	47208.3580914	5092:16407.5,5111:21386.42,5130:16002.54
426	257	369.11035	1	46094.0612553	5225:18818.64,5244:21153.47,5263:21309.5,5282:18560.54
427	257	369.11035	1	43408.8485956	5700:13102.73,5719:20065.36,5738:13021.78,5757:15536.54
428	257	369.11035	1	42296.5839468	5358:15599.32,5377:19758.9,5396:20301.81
429	257	369.11035	1	41375.7478407	5871:466.6755,5890:20651.66,5909:18525.84,5928:0.0
430	257	369.11035	1	41142.7761392	5966:21099.26,5985:19531.74
431	257	369.11035	1	40229.4268921	5738:13021.78,5757:15536.54,5776:17141.65,5795:17792.65,5814:19443.49
432	257	369.11035	1	38714.083758	5529:287.0893,5548:18951.45,5567:18441.08,5586:14322.8,5605:11745.11
433	257	369.11035	1	35996.2687076	5472:19760.2,5491:16875.09,5510:21902.33,5529:287.0893
434	257	369.11035	1	30604.9141404	5662:13502.81,5681:23246.0,5700:13102.73,5719:20065.36,5738:13021.78
435	257	369.11035	1	29260.4442047	5605:11745.11,5624:14090.81,5643:19251.92,5662:13502.81,5681:23246.0,5700:13102.73
436	257	369.11035	1	24.0521938867	5016:2282.306,5035:794.3599,5054:18878.26
437	259	371.0828	1	1113663.21203	5092:444486.5,5111:548635.0,5130:533707.6,5149:502279.2
438	259	371.0828	1	1064334.08677	5757:1076912.0,5776:1077317.0,5795:1065019.0,5814:1105458.0,5833:523569.2,5852:476885.1
439	259	371.0828	1	1057948.58771	5149:502279.2,5168:1119258.0,5187:1074969.0,5206:1107294.0,5225:531558.7,5244:516946.7
440	259	371.0828	1	1048595.87096	5662:1087302.0,5681:1105910.0,5700:1097786.0,5719:1105978.0,5738:1082554.0,5757:1076912.0
441	259	371.0828	1	1034985.28297	5415:489117.6,5434:378071.5,5453:453676.9
442	259	371.0828	1	1007544.55399	5244:516946.7,5263:1123625.0,5282:1064776.0,5301:983308.9
443	259	371.0828	1	1007233.67933	5624:929054.6,5643:1120875.0,5662:1087302.0,5681:1105910.0,5700:1097786.0
444	259	371.0828	1	998433.987347	5966:984293.5,5985:1041062.0
445	259	371.0828	1	992168.646875	5852:476885.1,5871:1025897.0,5890:1110686.0,5909:1122466.0,5928:991064.0
446	259	371.0828	1	985191.194299	5301:983308.9,5320:1044321.0,5339:1026757.0,5358:978244.9
447	259	371.0828	1	982572.832217	5434:378071.5,5453:453676.9,5472:499754.5,5491:971253.9,5510:1040544.0,5529:995143.0,5548:509527.2,5567:489849.8,5586:473268.5
448	259	371.0828	1	919809.000091	5339:1026757.0,5358:978244.9,5377:998938.6,5396:534515.7,5415:489117.6,5434:378071.5
449	259	371.0828	1	872320.308289	5586:473268.5,5605:1073622.0,5624:929054.6,5643:1120875.0,5662:1087302.0
450	260	371.31125	1	228908.870439	5396:29199.65,5415:40307.68,5434:17390.77,5453:19670.12
451	260	371.31125	1	218112.124687	5054:0.0,5073:33628.26,5092:23484.68,5111:22977.67
452	260	371.31125	1	123246.197446	5776:120739.8,5795:132053.5,5814:122257.2,5833:32266.09
453	260	371.31125	1	121369.135113	5833:32266.09,5852:33947.75,5871:120801.4,5890:136477.2,5909:125197.5,5928:121099.1,5947:112494.4,5966:111950.8
454	260	371.31125	1	120460.790056	5111:22977.67,5130:29487.31,5149:32778.39,5168:111716.9,5187:127689.5,5206:118751.6,5225:35098.67,5244:29052.5
455	260	371.31125	1	116920.469021	5244:29052.5,5263:129795.4,5282:122229.7,5301:108301.6
456	260	371.31125	1	112699.697363	5301:108301.6,5320:123219.8,5339:111052.2,5358:95169.2
457	260	371.31125	1	111123.264443	5434:17390.77,5453:19670.12,5472:24891.04,5491:108619.0,5510:118032.2,5529:125565.5,5548:43644.09,5567:30576.79,5586:25595.79
458	260	371.31125	1	102903.91302	5624:104615.8,5643:112622.5,5662:108717.1,5681:120219.3,5700:110088.5
459	260	371.31125	1	97802.1016852	5700:110088.5,5719:121906.9,5738:119571.7,5757:122415.2,5776:120739.8
460	260	371.31125	1	96828.8156645	5586:25595.79,5605:122620.3,5624:104615.8,5643:112622.5,5662:108717.1
461	260	371.31125	1	94631.7453169	5339:111052.2,5358:95169.2,5377:119264.9,5396:29199.65
462	261	372.09805	1	2353768.20028	5016:372480.5,5035:353909.6,5054:360659.3,5073:84159.0,5092:83529.54
463	261	372.09805	1	535137.801857	5149:73985.53,5168:114554.4,5187:81184.72,5206:73983.09
464	261	372.09805	1	492770.886256	5206:73983.09,5225:107118.9,5244:74654.36
465	261	372.09805	1	481603.912848	5548:77604.08,5567:79854.08,5586:91100.5,5605:100488.3,5624:72811.47
466	261	372.09805	1	475383.353708	5624:72811.47,5643:82407.45,5662:118658.3,5681:73921.46
467	261	372.09805	1	456894.847453	5282:82734.64,5301:122016.0,5320:82822.51
468	261	372.09805	1	448353.374663	5358:67691.29,5377:79591.8,5396:115320.7,5415:86805.36,5434:83875.31
469	261	372.09805	1	442816.690631	5434:83875.31,5453:90629.74,5472:99136.89,5491:67534.32
470	261	372.09805	1	396852.761734	5491:67534.32,5510:79048.79,5529:90903.64,5548:77604.08
471	261	372.09805	1	386401.829967	5681:73921.46,5700:82635.43,5719:98902.71,5738:75762.01,5757:57127.7,5776:48154.81
472	261	372.09805	1	329376.645906	5814:73275.78,5833:97387.53,5852:104902.9,5871:72089.51
473	261	372.09805	1	321033.993786	5092:83529.54,5111:94431.92,5130:87158.73,5149:73985.53
474	261	372.09805	1	274962.382631	5871:72089.51,5890:80998.43,5909:86157.43,5928:68627.1
475	262	373.07695	1	110496.313574	5890:93287.8,5909:111694.22,5928:135391.0,5947:129133.4,5966:125541.4
476	262	373.07695	1	82056.4468794	5966:125541.4,5985:136496.8
477	262	373.07695	1	78396.5692772	5814:97148.73,5833:128476.3,5852:121387.9,5871:122785.1,5890:93287.8
478	262	373.07695	1	72730.2916295	5415:111756.7,5434:128776.7,5453:131657.0,5472:132216.0,5491:88354.49
479	262	373.07695	1	69652.3764484	5624:93018.28,5643:110513.4,5662:104445.0,5681:94400.3
480	262	373.07695	1	67519.958433	5681:94400.3,5700:135481.0,5719:80760.97
481	262	373.07695	1	64179.3398424	5719:80760.97,5738:88765.29,5757:89403.74,5776:108661.6,5795:100304.7,5814:97148.73
482	262	373.07695	1	63704.446619	5206:97873.4,5225:146918.1,5244:136050.3,5263:94662.87,5282:78302.22
483	262	373.07695	1	60975.4052616	5529:96271.71,5548:141243.9,5567:127133.0,5586:122672.4,5605:105062.9,5624:93018.28
484	262	373.07695	1	60210.7870574	5320:84307.72,5339:121805.2,5358:81070.74
485	262	373.07695	1	54460.6730734	5092:103058.5,5111:160695.2,5130:140997.1,5149:116027.9
486	262	373.07695	1	53672.0599821	5149:116027.9,5168:134059.7,5187:136424.7,5206:97873.4
487	262	373.07695	1	4.02282000897e-09	5985:136496.8,5016:28695.75,5035:24209.22
488	263	374.0926	1	71080.5945884	5016:33090.94,5035:41869.03,5054:50948.71,5073:15853.52
489	263	374.0926	1	27235.4287863	5073:15853.52,5092:19975.43,5111:10551.08,5130:12617.42,5149:11716.13
490	263	374.0926	1	19971.1951297	5187:13243.32,5206:14891.3,5225:24375.88,5244:17912.93,5263:16016.22
491	263	374.0926	1	17281.3657905	5548:15150.38,5567:17456.3,5586:19478.73,5605:16646.79,5624:5782.811
492	263	374.0926	1	14295.5933882	5757:16153.06,5776:18259.71,5795:14306.96,5814:22447.51,5833:15917.16
493	263	374.0926	1	14045.8218283	5510:11944.38,5529:21468.31,5548:15150.38,5567:17456.3
494	263	374.0926	1	13856.6027986	5795:14306.96,5814:22447.51,5833:15917.16,5852:23927.52,5871:14081.92
495	263	374.0926	1	13585.9417585	5358:13055.63,5377:16131.69,5396:17866.0,5415:23424.9,5434:20792.58,5453:11335.62
496	263	374.0926	1	11907.7033482	5947:12450.21,5966:12933.84,5985:18425.89
497	263	374.0926	1	10467.9001757	5871:14081.92,5890:17255.69,5909:12658.38,5928:14237.7,5947:12450.21
498	263	374.0926	1	8728.93071907	5301:14769.34,5320:16814.25,5339:15673.86,5358:13055.63
499	263	374.0926	1	5564.66422706	5624:5782.811,5643:15515.03,5662:16248.6,5681:17810.65,5700:20306.16,5719:20099.71,5738:21094.42,5757:16153.06
500	263	374.0926	1	3015.54612508	5453:11335.62,5472:21475.47,5491:17166.57,5510:11944.38
501	264	375.09495	1	1.45274623975e-06	5890:4620.4,5909:5347.418,5928:5861.671,5947:12798.75,5966:2396.444
502	264	375.09495	1	2.0526995459e-07	5814:3410.251,5833:6345.283,5852:4761.744,5871:4713.858,5890:4620.4
503	265	381.08245	1	39222.2041166	5795:14602.51,5814:15042.84,5833:19409.07,5852:19126.72,5871:11482.02
504	265	381.08245	1	35492.1004142	5225:10365.12,5244:12477.42,5263:17810.21,5282:15140.35,5301:12741.7,5320:11828.15
505	265	381.08245	1	35313.1179219	5491:9076.263,5510:19046.25,5529:17293.43,5548:16692.65,5567:14542.31,5586:13895.84
506	265	381.08245	1	33745.8054128	5415:15066.62,5434:15122.29,5453:16234.67,5472:14551.17,5491:9076.263
507	265	381.08245	1	33632.1150443	5700:13458.29,5719:16339.81,5738:14656.47,5757:10309.35
508	265	381.08245	1	33414.6573703	5016:13089.46,5035:13818.95,5054:16855.67,5073:14061.49,5092:15824.44,5111:13227.83
509	265	381.08245	1	33173.4318102	5358:11357.57,5377:15321.63,5396:16265.15,5415:15066.62
510	265	381.08245	1	32866.7366806	5624:6831.446,5643:10487.33,5662:14620.86,5681:15667.33,5700:13458.29
511	265	381.08245	1	30657.0903052	5757:10309.35,5776:16685.63,5795:14602.51,5814:15042.84
512	265	381.08245	1	28836.606648	5149:7152.902,5168:15028.78,5187:14605.91,5206:14481.33,5225:10365.12
513	265	381.08245	1	28725.1102986	5567:14542.31,5586:13895.84,5605:15191.6,5624:6831.446
514	265	381.08245	1	28470.7306975	5073:14061.49,5092:15824.44,5111:13227.83,5130:13655.7,5149:7152.902
515	265	381.08245	1	27960.5905084	5966:11117.09,5985:13951.14
516	266	382.0789	1	19746.5061967	5339:2210.858,5358:4497.652,5377:6940.718,5396:2328.991
517	266	382.0789	1	17271.1698343	5985:6306.479,5016:6206.645,5035:0.0
518	266	382.0789	1	16610.2216837	5947:2364.91,5966:2602.36,5985:6306.479
519	266	382.0789	1	16369.9152804	5092:1217.442,5111:5017.393,5130:6803.438,5149:4519.839
520	266	382.0789	1	16013.4503659	5529:4030.77,5548:5698.287,5567:6621.507,5586:5675.377,5605:2745.66
521	266	382.0789	1	14768.9514593	5871:3640.126,5890:4670.044,5909:5436.946,5928:7049.579,5947:2364.91
522	266	382.0789	1	14348.5936512	5149:4519.839,5168:4535.225,5187:6547.691,5206:5706.063,5225:6040.45,5244:4895.678,5263:3547.856
523	266	382.0789	1	12854.6672276	5643:2902.085,5662:4994.39,5681:4395.423,5700:7147.849,5719:3498.4,5738:3174.638
524	266	382.0789	1	12750.0469932	5472:2570.309,5491:6363.476,5510:4853.405,5529:4030.77
525	266	382.0789	1	11133.2694247	5396:2328.991,5415:3967.037,5434:3853.553,5453:4021.526,5472:2570.309
526	266	382.0789	1	10652.0411873	5833:2350.804,5852:5298.51,5871:3640.126,5890:4670.044
527	266	382.0789	1	10530.4142828	5244:4895.678,5263:3547.856,5282:7331.184
528	266	382.0789	1	10409.7788448	5605:2745.66,5624:4750.42,5643:2902.085,5662:4994.39,5681:4395.423
529	267	383.1075	1	16659.4074393	5510:5418.264,5529:6840.462,5548:5401.562,5567:2194.79
530	267	383.1075	1	15282.327001	5795:2080.897,5814:3185.31,5833:4021.471,5852:5585.898,5871:6067.176,5890:4565.369,5909:3662.313,5928:3439.414
531	267	383.1075	1	14059.972102	5928:3439.414,5947:9729.282,5966:5939.329,5985:5632.87
532	267	383.1075	1	13824.6036984	5700:4818.946,5719:5692.32,5738:5892.104
533	267	383.1075	1	9080.11960557	5567:2194.79,5586:5840.084,5605:3790.131,5624:4605.371
534	268	384.19075	1	12397.2611015	5168:0.0,5187:169.2694,5206:0.0
535	268	384.19075	1	2.10459182437e-06	5282:0.0,5301:0.0,5320:0.0
536	268	384.19075	1	4.62796029499e-07	5339:0.0,5358:823.9685,5377:0.0
537	268	384.19075	1	2.47935925124e-07	5529:0.0,5548:696.5568,5567:0.0
538	268	384.19075	1	8.67589611264e-09	5396:0.0,5415:0.0,5434:0.0
539	269	385.1528	1	67856.0466456	5187:19847.05,5206:35838.51,5225:34650.71,5244:25925.6
540	269	385.1528	1	63988.7374175	5016:0.0,5035:30964.5,5054:19428.46
541	269	385.1528	1	55273.0616621	5453:19363.47,5472:27027.19,5491:32762.64,5510:33852.21,5529:35383.22,5548:14602.25
542	269	385.1528	1	54982.2717631	5111:11697.11,5130:31942.58,5149:19055.19,5168:32857.97,5187:19847.05
543	269	385.1528	1	53114.6171797	5244:25925.6,5263:30988.8,5282:30360.86,5301:20795.01
544	269	385.1528	1	44667.2002332	5548:14602.25,5567:32295.65,5586:32984.65,5605:33633.6,5624:28842.32,5643:27423.46,5662:25503.04
545	269	385.1528	1	40641.9121569	5662:25503.04,5681:29094.59,5700:34002.93,5719:33818.69,5738:34591.94,5757:32995.01
546	269	385.1528	1	39550.0693703	5814:11283.55,5833:18943.36,5852:24282.01,5871:33757.38,5890:29512.42,5909:28075.58
547	269	385.1528	1	36894.5909149	5358:14982.32,5377:30807.53,5396:31807.76,5415:29406.22,5434:28585.69,5453:19363.47
548	269	385.1528	1	34719.8085853	5757:32995.01,5776:33245.21,5795:31855.53,5814:11283.55
549	269	385.1528	1	29672.3905985	5301:20795.01,5320:31059.33,5339:30642.81,5358:14982.32
550	269	385.1528	1	23824.8960417	5947:28596.18,5966:29013.66,5985:30235.14
551	270	388.18995	1	35434.8809416	5814:0.0,5833:18133.56,5852:11498.51,5871:11333.68
552	270	388.18995	1	26287.2294893	5947:10393.02,5966:12570.59,5985:14089.54
553	271	391.1718	1	237321.43156	5776:88689.81,5795:95515.99,5814:106415.4,5833:105319.2,5852:111160.1,5871:84727.16,5890:78620.41
554	271	391.1718	1	227952.177562	5225:83343.81,5244:93015.35,5263:98675.02,5282:76919.36,5301:68376.17
555	271	391.1718	1	212947.832565	5662:74117.07,5681:93476.5,5700:103258.3,5719:78320.84
556	271	391.1718	1	211740.862612	5947:88383.59,5966:95986.54,5985:106747.2
557	271	391.1718	1	205378.190722	5491:74504.43,5510:97274.45,5529:100934.6,5548:78888.53
558	271	391.1718	1	204379.194003	5548:78888.53,5567:82595.48,5586:83574.67,5605:83702.51,5624:90164.56,5643:75835.96,5662:74117.07
559	271	391.1718	1	202508.337187	5890:78620.41,5909:87945.15,5928:103007.8,5947:88383.59
560	271	391.1718	1	199065.754942	5415:80767.52,5434:82508.33,5453:93202.11,5472:93956.11,5491:74504.43
561	271	391.1718	1	196774.466011	5301:68376.17,5320:92584.74,5339:97544.43,5358:102412.5,5377:85188.74
562	271	391.1718	1	176851.557283	5016:69045.31,5035:84251.48,5054:91658.56,5073:105177.5,5092:99094.99,5111:98229.89,5130:95314.89,5149:90649.69
563	271	391.1718	1	151037.55058	5149:90649.69,5168:100886.5,5187:99391.56,5206:100977.9,5225:83343.81
564	272	392.24985	1	34818.7810432	5662:5346.301,5681:11856.61,5700:8366.421,5719:4241.127,5738:1480.154
565	272	392.24985	1	28501.4612426	5909:3145.275,5928:11831.46,5947:10626.6,5966:9676.208
566	272	392.24985	1	28083.0520692	5301:4580.578,5320:8619.392,5339:9420.741,5358:5794.882
567	272	392.24985	1	24223.9356666	5092:4343.581,5111:17670.95,5130:8326.703,5149:13171.13,5168:6552.153,5187:2239.81
568	272	392.24985	1	22197.996126	5358:5794.882,5377:6591.994,5396:7982.025,5415:4585.741,5434:3539.46
569	272	392.24985	1	21897.7704516	5605:4851.885,5624:7669.293,5643:5717.509,5662:5346.301
570	272	392.24985	1	20949.4940619	5434:3539.46,5453:7509.529,5472:7627.498,5491:4737.567,5510:4167.97
571	272	392.24985	1	18188.3305407	5738:1480.154,5757:1920.114,5776:3993.353,5795:7053.374,5814:0.0
572	272	392.24985	1	2.62960491862e-06	5187:2239.81,5206:3858.461,5225:5484.891,5244:5161.65
573	272	392.24985	1	6.65341666206e-07	5833:1066.933,5852:8826.952,5871:1633.485,5890:6049.15,5909:3145.275
574	272	392.24985	1	3.97730397474e-07	5016:5648.529,5035:3764.789,5054:9474.977,5073:6388.565,5092:4343.581
575	272	392.24985	1	2.47935925124e-07	5510:4167.97,5529:4848.86,5548:5683.377,5567:4819.958
576	273	393.29455	1	108452.77285	5662:13748.43,5681:51500.51,5700:50619.32,5719:23751.89,5738:14735.21
577	273	393.29455	1	103976.815943	5111:26968.97,5130:28354.94,5149:41426.53,5168:51022.65,5187:46890.3,5206:29639.13,5225:20226.08
578	273	393.29455	1	94350.1153744	5301:14331.76,5320:44008.25,5339:46729.72,5358:36961.02
579	273	393.29455	1	93336.4611727	5434:13347.5,5453:41490.9,5472:43641.96,5491:13208.12
580	273	393.29455	1	82276.5865898	5966:28693.25,5985:33842.94
581	273	393.29455	1	81299.29499	5909:14638.42,5928:38708.08,5947:37863.99,5966:28693.25
582	273	393.29455	1	69203.9595928	5225:20226.08,5244:21429.71,5263:23723.99,5282:18022.58,5301:14331.76
583	273	393.29455	1	68112.5714469	5776:12708.62,5795:40563.2,5814:45490.65,5833:20131.06
584	273	393.29455	1	52539.4648487	5985:33842.94,5016:16688.01,5035:14127.37
585	273	393.29455	1	50437.3307336	5833:20131.06,5852:36401.88,5871:20993.18,5890:25070.95,5909:14638.42
586	273	393.29455	1	556.071145936	5035:14127.37,5054:24557.42,5073:26702.32,5092:29803.63,5111:26968.97
587	273	393.29455	1	102.219452848	5491:13208.12,5510:13826.85,5529:23590.71,5548:15402.57,5567:14898.08
588	273	393.29455	1	2.89492163574e-09	5567:14898.08,5586:30115.86,5605:13094.17,5624:34359.39,5643:15650.97,5662:13748.43
589	274	396.0793	1	119721.321306	5149:29611.32,5168:42564.59,5187:60889.44,5206:45103.44
590	274	396.0793	1	112489.891817	5054:27966.56,5073:30675.21,5092:45497.32,5111:37702.63,5130:38482.67,5149:29611.32
591	274	396.0793	1	108101.370208	5643:33960.9,5662:37797.56,5681:45478.48,5700:55275.25,5719:52359.82,5738:32427.36
