ID	precursor number	monoisotopic m/z	charge	peak alpha	elution profile
122	101	760.1377	1	73625.1470167	5301:37043.66,5320:28651.58,5339:55677.31,5358:15724.46
123	102	489.05215	4	21433.0090183	5244:0.0,5263:10286.77,5282:7828.803
124	103	430.885	1	66032.1583789	5149:0.0,5168:49842.76,5187:47569.52
125	103	430.885	1	49698.0597787	5358:31850.71,5377:35603.4,5396:46951.55,5415:0.0
126	103	430.885	1	40631.9562635	5225:42989.86,5244:45897.4,5263:41922.08,5282:44826.16,5301:39745.44
127	104	431.88795	1	5949.81409425	5244:116.1652,5263:1764.414,5282:0.0
128	104	431.88795	1	1329.57634124	5358:0.0,5377:935.7431,5396:0.0
129	105	624.2361	1	17200.6027636	5339:15161.34,5358:9582.629,5377:14234.16,5396:8102.804
130	106	832.1572	1	122729.08684	5377:22880.01,5396:54086.13,5415:0.0
131	106	832.1572	1	116371.933483	5301:20866.63,5320:33216.15,5339:47811.72,5358:30623.22,5377:22880.01
132	106	832.1572	1	86976.5584361	5225:20161.07,5244:34792.9,5263:21647.81,5282:39628.52,5301:20866.63
133	107	833.1506	1	75835.5230022	5168:0.0,5187:28448.47,5206:11661.96
134	107	833.1506	1	70068.3613739	5358:11412.47,5377:30602.54,5396:25418.55,5415:0.0
135	107	833.1506	1	59139.0070015	5282:15455.79,5301:26172.69,5320:19243.14,5339:26809.68,5358:11412.47
136	109	368.08825	1	15087.7182967	5092:0.0,5111:5953.961,5130:4230.583,5149:2750.061
137	109	368.08825	1	13207.0175236	5358:2766.179,5377:3056.835,5396:5900.895,5415:2885.609
138	109	368.08825	1	12526.2668376	5301:855.7001,5320:1001.404,5339:5372.706,5358:2766.179
139	109	368.08825	1	12237.0631981	5206:1026.929,5225:6214.146,5244:5271.91,5263:5887.458,5282:5064.372,5301:855.7001
140	110	409.10765	1	36073.2847244	5377:6176.855,5396:7353.772,5415:18414.9,5434:0.0
141	111	533.18855	1	13970.2324283	5377:10323.46,5396:7149.021,5415:7413.287
142	112	421.32775	2	31877.2398917	5396:8756.233,5415:9934.438,5434:12260.79
143	114	362.0277	1	7400.26072234	5396:13080.14,5415:5992.322,5434:8594.572,5453:4482.903
144	115	506.08845	1	8.67589611264e-09	5396:618.8065,5415:2426.657,5434:1413.976,5453:514.1192
145	116	608.20645	1	11945.939511	5377:93.49362,5396:3851.591,5415:3174.367,5434:454.8774
146	117	609.20625	1	8480.27252764	5339:0.0,5358:3627.577,5377:1739.189,5396:987.0765
147	118	467.8369	3	15471.4045116	5415:3780.772,5434:4405.328,5453:6031.52,5472:0.0
148	118	467.8369	3	14263.1031715	5301:2870.713,5320:5182.077,5339:6253.249,5358:5326.94,5377:3783.301
149	119	467.8369	4	4083.81336169	5415:561.6628,5434:655.6003,5453:890.7931,5472:0.0
150	119	467.8369	4	3323.64500231	5282:0.0,5301:1280.843,5320:73.64637
151	120	375.093	1	16012.0962931	5985:0.0,5016:6166.362,5035:1631.387
152	120	375.093	1	576.257275317	5130:2412.565,5149:5568.251,5168:4387.262,5187:5352.696
153	120	375.093	1	57.7740788135	5225:4163.731,5244:4591.82,5263:5232.864,5282:3255.807
154	120	375.093	1	1.18204715083e-06	5035:1631.387,5054:3740.974,5073:4076.248,5092:4382.4,5111:4258.417,5130:2412.565
155	120	375.093	1	2.77729332555e-08	5415:2416.097,5434:4151.555,5453:7057.112,5472:2035.62
156	120	375.093	1	2.08614257163e-08	5168:4387.262,5187:5352.696,5206:5388.924,5225:4163.731
157	121	383.1095	1	19089.0907651	5225:6427.362,5244:8047.58,5263:7854.819,5282:5175.603
158	121	383.1095	1	16632.8235191	5434:4514.398,5453:6921.589,5472:6306.43
159	121	383.1095	1	15583.8030555	5187:3363.533,5206:8071.714,5225:6427.362,5244:8047.58,5263:7854.819,5282:5175.603
160	121	383.1095	1	12644.9420581	5358:2993.016,5377:6123.858,5396:5257.724,5415:5968.69,5434:4514.398
161	122	404.1354	1	44006.2137502	5396:17656.76,5415:22354.95,5434:23652.54,5453:17141.34
162	123	540.1604	1	1.37048965065e-07	5415:3603.126,5434:5724.076,5453:4219.493,5472:2895.43
163	124	607.2092	1	27192.0799333	5396:8672.964,5415:9549.629,5434:9701.231,5453:12950.2,5472:10469.05
164	125	834.1456	1	61566.8957551	5434:7022.072,5453:27477.37,5472:21874.66
165	126	372.31785	1	17016.9001585	5415:5060.984,5434:14298.39,5453:10714.27,5472:8543.392,5491:7573.977
166	126	372.31785	1	11335.8652108	5301:813.1915,5320:4112.201,5339:10963.91,5358:8488.134,5377:2529.128
167	127	550.21345	1	22952.3075343	5453:7550.957,5472:12030.06,5491:8260.039
168	128	373.07695	4	10119.5265144	5453:789.4467,5472:911.074,5491:1946.619,5510:0.0
169	128	373.07695	4	4418.14240383	5377:0.0,5396:2872.694,5415:246.0846
170	129	360.026	1	4862.92660287	5377:2202.95,5396:3264.029,5415:4242.529,5434:3780.373,5453:4394.583,5472:3898.959
171	129	360.026	1	13.0422898633	5472:3898.959,5491:4494.649,5510:2689.284
172	129	360.026	1	1.51043622054e-11	5244:0.0,5263:3356.882,5282:0.0
173	130	361.022	1	2.4530772329e-06	5301:1119.769,5320:614.5084,5339:0.0
174	130	361.022	1	1.37048965065e-07	5377:38.87344,5396:360.0716,5415:897.5564,5434:1538.44,5453:786.8382
175	130	361.022	1	1.51043622054e-11	5244:0.0,5263:983.578,5282:0.0
176	131	523.1336	1	8.67589611264e-09	5396:0.0,5415:4351.454,5434:3949.229,5453:2857.937
177	132	681.22345	1	16244.8642718	5434:6330.765,5453:6531.467,5472:10183.39,5491:8296.615,5510:7612.848
178	133	367.13095	1	6749.33826558	5453:2086.373,5472:5220.885,5491:2917.739,5510:3466.923,5529:2716.71
179	134	402.17755	1	16399.6399477	5415:5829.09,5434:8100.11,5453:7399.937,5472:4769.643
180	134	402.17755	1	15904.4750203	5472:4769.643,5491:5183.632,5510:8300.569,5529:7591.556
181	135	454.22785	1	14481.1267545	5472:4242.722,5491:6022.482,5510:3294.153
182	136	687.19525	1	16534.9849633	5472:2505.627,5491:6099.317,5510:0.0
183	137	698.19175	1	23961.921217	5472:13817.86,5491:12604.37,5510:4544.701
184	138	743.1126	1	200432.014388	5073:24138.04,5092:83845.17,5111:70631.69,5130:33477.6
185	138	743.1126	1	189147.763942	5491:48929.46,5510:80594.69,5529:63192.18
186	138	743.1126	1	173179.809593	5016:56691.69,5035:63163.2,5054:59141.7,5073:24138.04
187	138	743.1126	1	160962.7458	5282:34842.4,5301:44722.4,5320:47393.72,5339:69127.09,5358:38202.47,5377:37361.87
188	138	743.1126	1	155721.175334	5206:29665.0,5225:71549.47,5244:53604.74,5263:64947.56,5282:34842.4
189	138	743.1126	1	123332.820305	5130:33477.6,5149:69828.65,5168:46800.12,5187:33953.41,5206:29665.0
190	138	743.1126	1	108220.222563	5377:37361.87,5396:53900.71,5415:43996.85,5434:49537.44,5453:36543.31
191	139	744.1252	1	64348.2627975	5434:0.0,5453:18391.74,5472:1597.332
192	140	760.149	1	135514.763114	5510:39321.97,5529:58045.49,5548:0.0
193	141	816.1275	1	116700.455669	5130:11208.51,5149:32659.01,5168:42204.2,5187:24842.11,5206:23639.07
