mzbin,feature,cluster,scan
468.5090166665,79,14,1
469.2195333335,79,14,1
468.7612,80,14,1
469.2195333335,80,14,1
469.2195333335,81,14,1
469.2195333335,82,14,1
469.2195333335,83,14,1
503.1067,84,15,1
504.10735,84,15,1
505.12105,84,15,1
506.12105,84,15,1
504.10735,85,15,1
505.12105,85,15,1
506.12105,85,15,1
507.12025,85,15,1
505.12105,86,15,1
506.12105,86,15,1
507.12025,86,15,1
508.1523,86,15,1
506.12105,87,15,1
507.12025,87,15,1
508.1523,87,15,1
507.12025,88,15,1
507.4085666665,88,15,1
507.77645,88,15,1
508.1523,88,15,1
507.12025,89,15,1
507.77645,89,15,1
508.1523,89,15,1
507.12025,90,15,1
508.1523,90,15,1
507.4085666665,91,15,1
507.77645,91,15,1
508.1523,91,15,1
507.77645,92,15,1
508.1523,92,15,1
519.13835,93,16,1
520.13835,93,16,1
521.13835,93,16,1
522.13835,93,16,1
520.13835,94,16,1
521.13835,94,16,1
522.13835,94,16,1
523.14005,94,16,1
521.13835,95,16,1
522.13835,95,16,1
523.14005,95,16,1
522.13835,96,16,1
523.14005,96,16,1
536.1655,97,17,1
537.1655,97,17,1
538.1655,97,17,1
539.1655,97,17,1
537.1655,98,17,1
538.1655,98,17,1
539.1655,98,17,1
540.16675,98,17,1
538.1655,99,17,1
539.1655,99,17,1
540.16675,99,17,1
541.1563,99,17,1
539.1655,100,17,1
540.16675,100,17,1
541.1563,100,17,1
540.16675,101,17,1
541.1563,101,17,1
550.21685,102,18,1
551.21685,102,18,1
577.12935,103,19,1
578.1287,103,19,1
579.13325,103,19,1
578.1287,104,19,1
579.13325,104,19,1
593.1585,105,20,1
594.1585,105,20,1
595.1575,105,20,1
596.1575,105,20,1
597.1575,105,20,1
594.1585,106,20,1
595.1575,106,20,1
596.1575,106,20,1
597.1575,106,20,1
595.1575,107,20,1
596.1575,107,20,1
597.1575,107,20,1
596.1575,108,20,1
597.1575,108,20,1
610.18015,109,21,1
611.18015,109,21,1
612.18015,109,21,1
613.18015,109,21,1
614.18015,109,21,1
611.18015,110,21,1
612.18015,110,21,1
613.18015,110,21,1
614.18015,110,21,1
612.18015,111,21,1
613.18015,111,21,1
614.18015,111,21,1
613.18015,112,21,1
614.18015,112,21,1
624.2403,113,22,1
625.2403,113,22,1
642.9469,114,23,1
643.2385666665,114,23,1
642.9469,115,23,1
643.2385666665,115,23,1
651.1472,116,24,1
652.1474,116,24,1
653.1474,116,24,1
652.1474,117,24,1
653.1474,117,24,1
667.17345,118,25,1
668.1737,118,25,1
669.1737,118,25,1
670.1737,118,25,1
671.1737,118,25,1
668.1737,119,25,1
669.1737,119,25,1
670.1737,119,25,1
671.1737,119,25,1
669.1737,120,25,1
670.1737,120,25,1
671.1737,120,25,1
670.1737,121,25,1
671.1737,121,25,1
681.22335,122,26,1
682.22335,122,26,1
684.20285,122,26,1
685.20285,122,26,1
684.20285,123,26,1
685.20285,123,26,1
686.20225,123,26,1
687.20225,123,26,1
688.20225,123,26,1
685.20285,124,26,1
686.20225,124,26,1
687.20225,124,26,1
688.20225,124,26,1
686.20225,125,26,1
687.20225,125,26,1
688.20225,125,26,1
687.20225,126,26,1
688.20225,126,26,1
698.2561,127,27,1
699.25695,127,27,1
741.19135,128,28,1
742.19135,128,28,1
743.19135,128,28,1
744.19135,128,28,1
745.19135,128,28,1
742.19135,129,28,1
743.19135,129,28,1
744.19135,129,28,1
745.19135,129,28,1
743.19135,130,28,1
744.19135,130,28,1
745.19135,130,28,1
744.19135,131,28,1
745.19135,131,28,1
758.2229,132,29,1
759.22215,132,29,1
760.22215,132,29,1
761.22215,132,29,1
762.22215,132,29,1
759.22215,133,29,1
760.22215,133,29,1
761.22215,133,29,1
762.22215,133,29,1
760.22215,134,29,1
761.22215,134,29,1
762.22215,134,29,1
761.22215,135,29,1
762.22215,135,29,1
815.21455,136,30,1
816.21495,136,30,1
817.21495,136,30,1
816.21495,137,30,1
817.21495,137,30,1
832.241,138,31,1
833.24425,138,31,1
834.24425,138,31,1
833.24425,139,31,1
834.24425,139,31,1
837.34575,139,31,1
836.84225,140,31,1
837.34575,140,31,1
837.34575,141,31,1
837.34575,142,31,1
869.6257833335,143,32,1
869.6257833335,144,32,1
869.6257833335,145,32,1
888.1165,146,33,1
888.3726166665,146,33,1
355.0696,1,1,2
356.0696,1,1,2
357.0696,1,1,2
358.11735,1,1,2
356.0696,2,1,2
357.0696,2,1,2
358.11735,2,1,2
359.102,2,1,2
357.0696,3,1,2
358.11735,3,1,2
359.102,3,1,2
360.104,3,1,2
358.11735,4,1,2
359.102,4,1,2
360.104,4,1,2
361.102,4,1,2
359.102,5,1,2
360.104,5,1,2
361.102,5,1,2
362.0613,5,1,2
360.104,6,1,2
361.102,6,1,2
362.0613,6,1,2
363.10165,6,1,2
361.102,7,1,2
362.0613,7,1,2
363.10165,7,1,2
362.0613,8,1,2
363.10165,8,1,2
362.1793,9,1,2
363.10165,9,1,2
366.11145,10,2,2
367.1191,10,2,2
369.1215,10,2,2
369.1215,11,2,2
370.12365,11,2,2
371.97905,11,2,2
370.12365,12,2,2
371.97905,12,2,2
373.1385,12,2,2
371.97905,13,2,2
371.97905,14,2,2
373.1385,14,2,2
373.35765,14,2,2
371.97905,15,2,2
373.1385,15,2,2
374.1385,15,2,2
371.97905,16,2,2
373.1385,16,2,2
374.1385,16,2,2
375.1212,16,2,2
371.97905,17,2,2
373.35765,17,2,2
371.97905,18,2,2
373.35765,18,2,2
373.1385,19,2,2
373.35765,19,2,2
374.1385,19,2,2
373.1385,20,2,2
374.1385,20,2,2
375.1212,20,2,2
376.0974,20,2,2
374.1385,21,2,2
375.1212,21,2,2
376.0974,21,2,2
375.1212,22,2,2
376.0974,22,2,2
379.08335,23,3,2
380.1036,23,3,2
381.10205,23,3,2
382.10205,23,3,2
380.1036,24,3,2
381.10205,24,3,2
382.10205,24,3,2
383.1092,24,3,2
381.10205,25,3,2
382.10205,25,3,2
383.1092,25,3,2
384.1388166665,25,3,2
382.10205,26,3,2
383.1092,26,3,2
384.1388166665,26,3,2
385.1391666665,26,3,2
383.1092,27,3,2
384.1388166665,27,3,2
385.1391666665,27,3,2
386.13815,27,3,2
383.8635,28,3,2
384.1388166665,28,3,2
385.1391666665,28,3,2
384.1388166665,29,3,2
385.1391666665,29,3,2
386.13815,29,3,2
385.1391666665,30,3,2
386.13815,30,3,2
388.19005,30,3,2
388.19005,31,4,2
389.19175,31,4,2
390.1893,31,4,2
391.22015,31,4,2
389.19175,32,4,2
390.1893,32,4,2
391.22015,32,4,2
392.22015,32,4,2
390.1893,33,4,2
391.22015,33,4,2
392.22015,33,4,2
393.2083,33,4,2
391.22015,34,4,2
392.22015,34,4,2
393.2083,34,4,2
394.20925,34,4,2
392.22015,35,4,2
393.2083,35,4,2
394.20925,35,4,2
