S	5016	5016
S	5035	5035
S	5054	5054
S	5073	5073
S	5092	5092
S	5111	5111
S	5130	5130
S	5149	5149
S	5168	5168
S	5187	5187
S	5206	5206
S	5225	5225
S	5244	5244
S	5263	5263
S	5282	5282
S	5301	5301
S	5320	5320
S	5339	5339
S	5358	5358
S	5377	5377
S	5396	5396
S	5415	5415
S	5434	5434
S	5453	5453
S	5472	5472
S	5491	5491
S	5510	5510
S	5529	5529
S	5548	5548
S	5567	5567
S	5586	5586
S	5605	5605
S	5624	5624
S	5643	5643
S	5662	5662
S	5681	5681
S	5700	5700
S	5719	5719
S	5738	5738
S	5757	5757
S	5776	5776
S	5795	5795
S	5814	5814
S	5833	5833
S	5852	5852
S	5871	5871
S	5890	5890
S	5909	5909
S	5928	5928
S	5947	5947
S	5966	5966
S	5985	5985
